Auction ID,Heading,Location,Bank Name,Reserve Price,Auction Date,View Auction Link,event_bank,property_category,property_sub_category,property_description,country,state,district,reserve_price_detailed,area,emd_amount,extraction_success_count,master_generation_timestamp
82740,Land and Building in Malda,"Maldah, West Bengal",UCO Bank,"₹5,39,000",29/12/2025,https://albionbankauctions.com/web/view-auctions/3a4a9c2b-f2fb-47e6-b925-2e301d625baa,UCO Bank,Immovable,Land Agri Commercial Residential Industrial Farm,All that piece of land measuring 2.00 decimal along with one brick wall structure measuring total pl...Read More,India,West Bengal,Maldah,"5,39,000","2.00
                                            Cents","53,900",10,20250829_043609
81915,Residential Flat in Kasba,"Kasba, Kolkata, West Bengal",Indian Bank,"₹25,74,000",28/10/2025,https://albionbankauctions.com/web/view-auctions/0769a6d7-87c7-4ae0-bddb-52e495b36950,Indian Bank,Immovable,House Villa Bunglow Apartment Flat,"Equitable mortgage of residential flat No. 302, (3rd floor) of SBA 1336 sq.ft more or less in G+3 St...Read More",India,West Bengal,Kolkata,"25,74,000","1336
                                            sq.ft","2,57,400",10,20250829_043609
80924,Land in Bijpur,"Bijpur, Kolkata, West Bengal",Canara Bank,"₹6,00,000",16/10/2025,https://albionbankauctions.com/web/view-auctions/fe05d0cb-ea13-488f-a235-3923bd948d17,Canara Bank,Immovable,Land Agri Commercial Residential Industrial Farm,property: UREM of All that piece and parcel of land measuring l Cottah l Chittacks 14 Sq. Ft. Lying...Read More,India,West Bengal,Kolkata,"6,00,000",,"60,000",9,20250829_043609
82581,Flat in North 24 Parganas,"North 24 Parganas, West Bengal",Canara Bank,"₹24,00,000",16/10/2025,https://albionbankauctions.com/web/view-auctions/b15b2c4b-d035-4636-80e6-947a7e166eef,Canara Bank,Immovable,House Villa Bunglow Apartment Flat,All that piece and parcel of office room on the Ground Floor measuring a super bullt up area of abou...Read More,India,West Bengal,North 24 Parganas,"24,00,000","324
                                            sq.ft","2,40,000",10,20250829_043609
82573,Land and Building in North 24 Parganas,"North 24 Parganas, West Bengal",Canara Bank,"₹13,50,000",16/10/2025,https://albionbankauctions.com/web/view-auctions/52a6fd8b-a670-4420-b9a9-dc6cb5bb59d7,Canara Bank,Immovable,Land Agri Commercial Residential Industrial Farm,All that piece and parcel of land measuring 7 Chattacks 33 Sq Ft. More or less together with buildin...Read More,India,West Bengal,North 24 Parganas,"13,50,000",,"1,35,000",9,20250829_043609
82579,Land in Alipur,"Alipur, Kolkata, West Bengal",Canara Bank,"₹22,00,000",16/10/2025,https://albionbankauctions.com/web/view-auctions/b31434df-1f2f-4000-995a-06f8827aac97,Canara Bank,Immovable,Land Agri Commercial Residential Industrial Farm,All that One storied building erected and built on a land measuring 5 Cottahs more or less 8.1/4 Sat...Read More,India,West Bengal,Kolkata,"22,00,000",,"2,20,000",9,20250829_043609
82763,"Plot in GHACHIPURA, MAKRAN","Nagaur, Rajasthan",Au small finance bank,"₹30,75,000",14/10/2025,https://albionbankauctions.com/web/view-auctions/df3e7bb5-5b95-4a9b-b7ca-acce2de43c20,Au small finance bank,Immovable,Land Agri Commercial Residential Industrial Farm,"PROPERTY SITUATI AT-PATTA  NO VILLAGE- DAMBOI, GRAM PANCAYAT GHACHIPURA, TEHSIL- MAKRAN, DIS- NAGAUR...Read More",India,Rajasthan,Nagaur,"30,75,000","759.11
                                            Square Yard","3,07,500",10,20250829_043609
82697,"Plot in Khera, Kapasan","Chittorgarh, Rajasthan",Au small finance bank,"₹9,50,000",14/10/2025,https://albionbankauctions.com/web/view-auctions/6b49eab6-89d2-4207-9e43-383bbc952457,Au small finance bank,Immovable,Land Agri Commercial Residential Industrial Farm,"Property Situated At Patta No. 148, Kumaharo Ka Bas, Gram Joba, Te.- Desuri, Dist. Pali, Rajasthan A...Read More",India,Rajasthan,Chittorgarh,"9,50,000","1890
                                            sq.ft","95,000",10,20250829_043609
82855,"Plot in Lunawa, Bali","Pali, Rajasthan",Au small finance bank,"₹6,00,000",14/10/2025,https://albionbankauctions.com/web/view-auctions/78f0ab9e-d0b3-429d-a76f-bdf1737890a3,Au small finance bank,Immovable,Land Agri Commercial Residential Industrial Farm,"Property Situated At- Patta No Book No. Vill- Lunawa, Th- Bali, Dist- Pali, Rajasthan Admeasuring 53...Read More",India,Rajasthan,Pali,"6,00,000","53.66
                                            Square Yard","60,000",10,20250829_043609
81913,Land in South 24 Paraganas,"South 24 Parganas, West Bengal",Indian Bank,"₹85,55,000",14/10/2025,https://albionbankauctions.com/web/view-auctions/8cc3afe9-2eee-46d8-a0a6-bc1b0412c9db,Indian Bank,Immovable,Land Agri Commercial Residential Industrial Farm,All that piece and parcel of land msg about 4 Cottahs 6 Chittaks out of 75 decimals of land be the s...Read More,India,West Bengal,South 24 Parganas,"85,55,000",,"8,55,500",9,20250829_043609
